startup_name,industry,city,funding_amount_inr,funding_type,funding_date,investors,is_success
Aqgromalin,AgriTech,Chennai,16600000.0,Unknown,01-12-2020,Angel investors,0
Krayonnz,EdTech,Bangalore,8300000.0,Pre-seed,01-12-2020,GSF Accelerator,0
PadCare Labs,Hygiene management,Pune,,Pre-seed,01-12-2020,Venture Center,0
NCOME,Escrow,New Delhi,33200000.0,Unknown,01-12-2020,"Venture Catalysts, PointOne Capital",0
Gramophone,AgriTech,Indore,28220000.0,Unknown,01-12-2020,"Siana Capital Management, Info Edge",0
qZense,AgriTech,Bangalore,49800000.0,Seed,01-12-2020,"Venture Catalysts, 9Unicorns Accelerator Fund",0
MyClassboard,EdTech,Hyderabad,49800000.0,Pre-series A,01-12-2020,ICICI Bank.,0
Metvy,Networking platform,Gurgaon,,Pre-series,01-12-2020,HostelFund,0
Rupeek,FinTech,Bangalore,3735000000.0,Series C,01-12-2020,"KB Investment, Bertelsmann India Investments",1
Gig India,Crowdsourcing,Pune,83000000.0,Pre-series A,01-12-2020,"Shantanu Deshpande, Subramaniam Ramadorai",0
Slurrp Farm,Food & Bevarages,Gurgaon,166000000.0,Series A,01-12-2020,Fireside Ventures,0
Medfin,HealthTech,Bangalore,,Series A,01-12-2020,"Axilor Ventures, S.D. Shibulal",0
Brila 91,Food & Bevarages,New Delhi,99600000.0,Unknown,01-12-2020,"Sequoia Capital India, Sixth Sense Ventures",0
FoodyBuddy,Food Industry,Belgaum,49800000.0,Unknown,01-12-2020,Rebel Foods,0
Zomato,Food Delivery,Gurgaon,54780000000.0,Unknown,01-12-2020,"Kora, Tiger Global Management",1
OurEye.ai,Virtual auditing startup,Bangalore,9960000.0,Unknown,01-12-2020,"100X VC, Amara Ventures",0
Shiprocket,E-commerce,New Delhi,622500000.0,Series C,01-12-2020,"Bertelsmann India Investments, InnoVen Capital",1
Moneyboxx Finance,FinTech,New Delhi,83000000.0,Unknown,01-12-2020,"BlackSoil, Caspian",0
EWar,Gaming,Bangalore,,Pre-series A,01-12-2020,"Jindal Steels, Jeet Banerjee",0
SucSEED Indovation,FinTech,Hyderabad,415000000.0,Unknown,01-12-2020,Unknown,1
TaxBuddy.com,FinTech,Mumbai,83000000.0,Unknown,01-12-2020,Zenith Global,0
Awign Enterprises,Work fulfillment,Bangalore,41500000.0,Unknown,01-12-2020,"Unitus Ventures, Work10M",0
Circle of Angels,FinTech,Gurgaon,249000000.0,Unknown,01-12-2020,Unknown,0
CoinDCX,FinTech,Mumbai,830000000.0,Series B,01-12-2020,"Coinbase Ventures, Polychain",1
Glance,AI startup,Bangalore,12035000000.0,Unknown,01-12-2020,Mithril Capital Management.,1
VerSe Innovation,Telecommunication,Bangalore,8300000000.0,Unknown,01-12-2020,Google,1
Voosh,Food Industry,Bangalore,,Pre-seed,01-12-2020,Better Capital,0
Arya,AgriTech,Noida,1743000000.0,Series B,01-12-2020,Quona Capital,1
Pickrr,Logistics,New Delhi,332000000.0,Unknown,01-12-2020,Swastika,0
PhonePe,FinTech,Andheri,1660000000.0,Unknown,01-12-2020,"Flipkart, Walmart",1
Countingwell,EdTech,Bangalore,83000000.0,Pre-series A,01-12-2020,"Delhi Private School, UAE, Interstar",0
Callify.ai,Tech Startup,Mumbai,46480000.0,Seed,01-12-2020,Malpani Ventures,0
Hudle,Sports,New Delhi,,Pre-series A,01-12-2020,Survam Partners,0
Cover it Up,E-commerce,Chennai,33200000.0,Seed,01-12-2020,Angel investors,0
